,Date,Total Users,Full Members,Guests,Daily Active Users,Daily Users Posting Messages,Weekly Active Users,Weekly Users Posting Messages,Messages in Public Channels,Messages in Private Channels,Messages in Shared Channels,Messages in DMs,% of Messages Posted in Public Channels,% of Messages Posted in Private Channels,% of Messages Posted in DMs,% of Messages Read in Public Channels,% of Messages Read in Private Channels,% of Messages Read in DMs,Files Uploaded,Messages from Users,Name,Public Workspace Channels,Messages Posted,Messages from Apps
0,2017-03-16,2.9897572858313737,1.8901326222200105,0.0,0.9105854722961,1.7127533308819083,2.6486046628723123,1.2383598737210446,15.572653228681308,0.0,0.0,0.0,0.6434248750275917,0.0,0.0,0.3761169816645397,0.0,0.07598535275544348,0.0,8.024137376462315,0.0,1.55567858653377,24.85740211387454,0.0
1,2017-03-17,31.89074438220132,20.161414637013447,0.0,9.712911704491733,11.132896650732404,28.251783070637998,8.04933917918679,104.14211846680624,0.0,0.0,11.100229441399891,0.5296030146352108,0.0,0.16393974456246477,0.4014654849825506,0.0,0.05209194154905757,0.0,65.19611618375632,0.0,2.333517879800655,239.36757591138445,0.0
2,2017-03-18,38.86684471580786,24.57172408886014,0.0,9.105854722960999,8.563766654409541,34.431860617340064,11.145238863489402,25.305561496607126,0.0,0.0,0.9652373427304253,0.5974843389506217,0.0,0.0661690093937817,0.43165532406940677,0.0,0.023635104058208765,0.0,14.042240408809052,0.0,3.11135717306754,311.17784868479976,0.0
3,2017-03-19,43.849773525526814,27.72194512589349,0.0,10.623497176787833,5.138259992645725,38.84620172212725,13.621958610931491,3.893163307170327,0.0,0.0,3.860949370921701,0.2144535108466963,0.0,0.6178554420565022,0.4084991237410617,0.0,0.04546205807917752,0.0,6.018103032346737,0.0,3.11135717306754,351.6862076851879,0.0
4,2017-03-20,59.795145716627474,37.802652444400216,0.0,14.5693675567376,11.989273316173358,52.08922503648881,16.7178582952341,54.50428630038458,0.0,0.0,0.9652373427304253,0.6212267168391398,0.0,0.031972420505398724,0.44161203348080563,0.0,0.014249944341105832,0.5197775110120468,29.087497989675892,0.0,3.11135717306754,477.8145073000328,0.0
5,2017-03-21,66.77124605023401,42.2129618962469,0.0,16.997595482860532,27.404053294110533,58.26930258319087,24.767197474420893,338.70520772381843,0.0,0.0,34.74854433829531,0.5331418514478625,0.0,0.15884269201812581,0.43709040856461995,0.0,0.018512012286028723,1.0395550220240937,210.63360613213578,0.0,3.11135717306754,910.517432985997,0.0
6,2017-03-22,70.75758909800918,44.73313872587359,0.0,14.265839065972232,12.845649981614311,61.80077546702062,26.005557348141938,151.83336897964276,0.0,0.0,8.204517413208615,0.5801762098123794,0.0,0.09109823001973028,0.4395110764490426,0.0,0.016230299143797276,0.5197775110120468,86.76098538299878,0.0,3.11135717306754,1089.1224703967991,0.0
7,2017-03-23,71.75417485995297,45.36318293328026,0.0,15.783481519799066,20.5530399705829,62.68364368797806,29.72063696930507,164.4861497279463,8.544793089562493,0.0,15.443797483686804,0.49202700193359944,0.03693007583307845,0.1341914924400503,0.3933813677081579,0.06580948273814692,0.024194769545925914,1.0395550220240937,110.83339751238573,0.0,3.11135717306754,1307.3152222852534,0.0
8,2017-03-24,72.75076062189676,45.993227140686926,0.0,17.90818095515663,18.84028663970099,62.68364368797806,30.33981690616559,92.46262854529526,5.126875853737495,0.0,23.648314896895418,0.39184574889180335,0.03138036277970976,0.29108803712306486,0.4116505592887063,0.020580420056293215,0.03138431850352312,0.5197775110120468,78.23533942050757,0.0,3.11135717306754,1457.3802794912367,0.0
9,2017-03-25,72.75076062189676,45.993227140686926,0.0,12.141139630614665,11.989273316173358,61.80077546702062,30.33981690616559,23.358979843021963,0.8544793089562492,0.0,1.4478560140956378,0.5324984265728349,0.028156632403120593,0.09582458783357183,0.4248043772267011,0.041798992672471495,0.007533958488500063,0.0,14.543748994837946,0.0,3.11135717306754,1484.9996151733196,0.0
